Malic acid,Ash,Total phenols,Proanthocyanins
2.81,2.7,1.54,0.75
2.56,2.35,1.4,0.64
3.17,2.72,1.55,0.55
4.95,2.35,2,1.02
3.88,2.2,1.38,1.14
3.57,2.15,1.5,1.3
5.04,2.23,0.98,0.68
4.61,2.48,1.7,0.86
3.24,2.38,1.93,1.25
3.9,2.36,1.41,1.14
3.12,2.62,1.4,1.25
2.67,2.48,1.48,1.26
1.9,2.75,2.2,1.56
3.3,2.28,1.8,1.87
1.29,2.1,1.48,1.4
5.19,2.32,1.74,1.55
4.12,2.38,1.8,1.56
3.03,2.64,1.9,1.14
1.68,2.7,2.8,2.7
1.67,2.64,2.6,2.29
3.83,2.38,2.3,1.04
3.26,2.54,1.83,0.8
3.27,2.58,1.65,0.96
3.45,2.35,1.39,0.94
2.76,2.3,1.35,1.03
4.36,2.26,1.28,1.15
3.7,2.6,1.7,1.46
3.37,2.3,1.48,0.97
2.58,2.69,1.55,1.54
4.6,2.86,1.98,1.11
3.03,2.32,1.25,0.73
2.39,2.28,1.39,0.64
2.51,2.48,1.68,1.24
5.65,2.45,1.68,1.06
3.91,2.48,1.8,1.41
4.28,2.26,1.59,1.35
2.59,2.37,1.65,1.46
4.1,2.74,2.05,1.35
