Name,UserRating,Reviews,Price,Year
Dear Zoo: A Lift-the-Flap Book,4.8,10922,5,2015
Dear Zoo: A Lift-the-Flap Book,4.8,10922,5,2016
Dear Zoo: A Lift-the-Flap Book,4.8,10922,5,2017
Dear Zoo: A Lift-the-Flap Book,4.8,10922,5,2018
Decision Points,4.6,2137,17,2010
"Delivering Happiness: A Path to Profits, Passion, and Purpose",4.6,1651,15,2010
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",4.5,6679,105,2013
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",4.5,6679,105,2014
"Diary of a Wimpy Kid: Hard Luck, Book 8",4.8,6812,0,2013
Diary of a Wimpy Kid: The Last Straw (Book 3),4.8,3837,15,2009
Diary of a Wimpy Kid: The Long Haul,4.8,6540,22,2014
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),4.6,7955,5,2019
Divergent,4.6,27098,15,2013
Divergent,4.6,27098,15,2014
Divergent / Insurgent,4.5,17684,6,2014
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",4.6,37,6,2009
Doctor Sleep: A Novel,4.7,15845,13,2013
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",4.8,3181,12,2009
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),4.9,5062,6,2018
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),4.9,4786,8,2017
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.9,7235,4,2018
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.9,7235,4,2019
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,12619,8,2019
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),4.9,9089,8,2019
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),4.9,5470,6,2018
Double Down (Diary of a Wimpy Kid #11),4.8,5118,20,2016
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),4.6,2134,5,2015
Drive: The Surprising Truth About What Motivates Us,4.5,2525,16,2010
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,4.5,720,1,2009
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",4.3,956,14,2009
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",4.5,6346,9,2011
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",4.5,6346,9,2012
Eclipse (Twilight Sagas),4.7,5505,7,2009
Eclipse (Twilight),4.7,5505,18,2009
Educated: A Memoir,4.7,28729,15,2018
Educated: A Memoir,4.7,28729,15,2019
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",4.7,5413,9,2015
Fahrenheit 451,4.6,10721,8,2016
Fahrenheit 451,4.6,10721,8,2018
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),4.7,4370,15,2016
Fear: Trump in the White House,4.4,6042,2,2018
Fifty Shades Darker,4.4,23631,7,2012
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),4.5,20262,11,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),3.8,47265,14,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),3.8,47265,14,2013
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),4.5,13964,32,2012
Fire and Fury: Inside the Trump White House,4.2,13677,6,2018
First 100 Words,4.7,17323,4,2014
First 100 Words,4.7,17323,4,2015
First 100 Words,4.7,17323,4,2016
First 100 Words,4.7,17323,4,2017
First 100 Words,4.7,17323,4,2018
Food Rules: An Eater's Manual,4.4,1555,9,2010
Frozen (Little Golden Book),4.7,3642,0,2014
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",4.4,1215,9,2010
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,4.6,5594,5,2011
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,4.6,5594,5,2012
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,4.6,5594,5,2013
George Washington's Sacred Fire,4.5,408,20,2010
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,4.6,4799,16,2013
Giraffes Can't Dance,4.8,14038,4,2015
Giraffes Can't Dance,4.8,14038,4,2016
Giraffes Can't Dance,4.8,14038,4,2017
Giraffes Can't Dance,4.8,14038,4,2018
Giraffes Can't Dance,4.8,14038,4,2019
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",4.6,7660,12,2019
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,22288,12,2018
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,22288,12,2019
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",4.6,1365,11,2009
Go Set a Watchman: A Novel,3.6,14982,19,2015
Go the F**k to Sleep,4.8,9568,9,2011
Going Rogue: An American Life,4.6,1636,6,2009
Gone Girl,4,57271,10,2012
Gone Girl,4,57271,10,2013
Gone Girl,4,57271,9,2014
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,4.6,10141,6,2019
Good to Great: Why Some Companies Make the Leap and Others Don't,4.5,3457,14,2009
Good to Great: Why Some Companies Make the Leap and Others Don't,4.5,3457,14,2010
Good to Great: Why Some Companies Make the Leap and Others Don't,4.5,3457,14,2011
Good to Great: Why Some Companies Make the Leap and Others Don't,4.5,3457,14,2012
Goodnight Moon,4.8,8837,5,2017
Goodnight Moon,4.8,8837,5,2018
Goodnight Moon,4.8,8837,5,2019
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",4.9,7038,7,2012
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",4.9,7038,7,2013
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",4.6,5972,10,2014
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),4.4,25624,14,2015
Guts,4.8,5476,7,2019
Hamilton: The Revolution,4.9,5867,54,2016
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",4.8,4148,11,2013
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",4.9,19622,30,2016
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",4,23973,12,2016
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",4.9,7758,18,2019
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",4.9,3146,30,2017
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",4.9,10052,22,2016
Harry Potter Coloring Book,4.7,3564,9,2015
Harry Potter Paperback Box Set (Books 1-7),4.8,13471,52,2016
Have a Little Faith: A True Story,4.8,1930,4,2009
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.7,15779,10,2011
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.7,15779,10,2012
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,15526,14,2016
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,15526,14,2017
Homebody: A Guide to Creating Spaces You Never Want to Leave,4.8,3776,22,2018
How to Win Friends & Influence People,4.7,25001,11,2014
How to Win Friends & Influence People,4.7,25001,11,2015
How to Win Friends & Influence People,4.7,25001,11,2016
How to Win Friends & Influence People,4.7,25001,11,2017
How to Win Friends & Influence People,4.7,25001,11,2018
Howard Stern Comes Again,4.3,5272,16,2019
Humans of New York,4.8,3490,15,2013
Humans of New York,4.8,3490,15,2014
Humans of New York : Stories,4.9,2812,17,2015
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",4.7,4896,17,2013
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",4.8,9737,7,2019
"I, Alex Cross",4.6,1320,7,2009
If Animals Kissed Good Night,4.8,16643,4,2017
If Animals Kissed Good Night,4.8,16643,4,2019
If I Stay,4.3,7153,9,2014
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",4.4,4571,21,2011
Inferno,4.1,29651,14,2013
Inheritance: Book IV (Inheritance Cycle),4.6,5299,20,2011
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,4.4,7396,13,2019
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,4.4,7396,13,2018
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,4.8,7062,12,2019
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,8,2011
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,8,2012
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,8,2013
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,8,2014
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,8,2015
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,8,2016
JOURNEY TO THE ICE P,4.6,978,0,2014
Joyland (Hard Case Crime),4.5,4748,12,2013
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,4.6,8393,17,2017
Killing Jesus (Bill O'Reilly's Killing Series),4.5,11391,12,2013
Killing Kennedy: The End of Camelot,4.6,8634,25,2012
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),4.7,9342,10,2011
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),4.7,9342,10,2012
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),4.6,10927,6,2014
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),4.6,5235,5,2015
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),4.8,8916,6,2016
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),4.8,2507,8,2018
Knock-Knock Jokes for Kids,4.5,3673,4,2013
Knock-Knock Jokes for Kids,4.5,3673,4,2014
Knock-Knock Jokes for Kids,4.5,3673,4,2015
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",4.9,11881,13,2018
Laugh-Out-Loud Jokes for Kids,4.6,6990,4,2013
Laugh-Out-Loud Jokes for Kids,4.6,6990,4,2014
Laugh-Out-Loud Jokes for Kids,4.6,6990,4,2015
Laugh-Out-Loud Jokes for Kids,4.6,6990,4,2016
Laugh-Out-Loud Jokes for Kids,4.6,6990,4,2017
"Lean In: Women, Work, and the Will to Lead",4.5,6132,13,2013
Leonardo da Vinci,4.5,3014,21,2017
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,4.4,7550,6,2018
Liberty and Tyranny: A Conservative Manifesto,4.8,3828,15,2009
Life,4.5,2752,18,2010
Little Bee: A Novel,4.1,1467,10,2010
Little Blue Truck,4.9,1884,0,2014
Little Fires Everywhere,4.5,25706,12,2018
Looking for Alaska,4.5,8491,7,2014
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",4.2,1649,13,2011
Love You Forever,4.8,18613,5,2014
Love You Forever,4.8,18613,5,2015
Magnolia Table: A Collection of Recipes for Gathering,4.8,9867,16,2018
Make It Ahead: A Barefoot Contessa Cookbook,4.5,1386,20,2014
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,4.7,10199,11,2017
"Mastering the Art of French Cooking, Vol. 2",4.8,2926,27,2009
Milk and Honey,4.7,17739,8,2016
Milk and Honey,4.7,17739,8,2017
Milk and Honey,4.7,17739,8,2018
Milk and Vine: Inspirational Quotes From Classic Vines,4.4,3113,6,2017
Mindset: The New Psychology of Success,4.6,5542,10,2014
Mindset: The New Psychology of Success,4.6,5542,10,2015
Mindset: The New Psychology of Success,4.6,5542,10,2016
Mockingjay (The Hunger Games),4.5,26741,8,2010
Mockingjay (The Hunger Games),4.5,26741,8,2011
Mockingjay (The Hunger Games),4.5,26741,8,2012
"National Geographic Kids Why?: Over 1,111 Answers to Everything",4.8,5347,16,2019
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),4.8,7866,11,2019
New Moon (The Twilight Saga),4.6,5680,10,2009
Night (Night),4.7,5178,9,2016
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,4.6,8093,14,2012
Obama: An Intimate Portrait,4.9,3192,22,2017
"Oh, the Places You'll Go!",4.9,21834,8,2012
"Oh, the Places You'll Go!",4.9,21834,8,2013
"Oh, the Places You'll Go!",4.9,21834,8,2014
"Oh, the Places You'll Go!",4.9,21834,8,2015
"Oh, the Places You'll Go!",4.9,21834,8,2016
"Oh, the Places You'll Go!",4.9,21834,8,2017
"Oh, the Places You'll Go!",4.9,21834,8,2018
"Oh, the Places You'll Go!",4.9,21834,8,2019
Old School (Diary of a Wimpy Kid #10),4.8,6169,7,2015
Olive Kitteridge,4.2,4519,12,2009
One Thousand Gifts: A Dare to Live Fully Right Where You Are,4.6,3163,13,2011
One Thousand Gifts: A Dare to Live Fully Right Where You Are,4.6,3163,13,2012
"Option B: Facing Adversity, Building Resilience, and Finding Joy",4.5,1831,9,2017
Origin: A Novel (Robert Langdon),4.3,18904,13,2017
Orphan Train,4.6,21930,11,2014
Outliers: The Story of Success,4.6,10426,20,2009
Outliers: The Story of Success,4.6,10426,20,2010
P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,10820,5,2018
P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,10820,5,2019
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),4.8,548,2,2010
Player's Handbook (Dungeons & Dragons),4.8,16990,27,2017
Player's Handbook (Dungeons & Dragons),4.8,16990,27,2018
Player's Handbook (Dungeons & Dragons),4.8,16990,27,2019
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,4.7,3503,9,2016
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,4.3,13616,10,2012
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,4.3,13616,10,2013
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2009
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2010
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2011
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2012
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2013
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2014
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2015
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2016
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2017
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2018
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),4.8,4757,4,2017
Quiet: The Power of Introverts in a World That Can't Stop Talking,4.6,10009,20,2012
Quiet: The Power of Introverts in a World That Can't Stop Talking,4.6,10009,7,2013
Radical: Taking Back Your Faith from the American Dream,4.7,1985,9,2010
Radical: Taking Back Your Faith from the American Dream,4.7,1985,9,2011
Ready Player One: A Novel,4.6,22536,12,2017
Ready Player One: A Novel,4.6,22536,12,2018
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),4.9,7150,12,2013
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),4.9,3836,12,2014
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8,7802,20,2018
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8,7802,20,2019
Sarah's Key,4.6,3619,10,2010
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",4.8,23047,6,2018
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",4.8,23047,6,2019
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",4.7,9366,9,2015
Sh*t My Dad Says,4.7,1265,11,2010
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,4.8,3923,16,2018
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,4.1,2272,6,2013
Sookie Stackhouse,4.7,973,25,2009
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",4.6,220,17,2013
Steve Jobs,4.6,7827,20,2011
Steve Jobs,4.6,7827,20,2012
Strange Planet (Strange Planet Series),4.9,9382,6,2019
StrengthsFinder 2.0,4,5069,17,2009
StrengthsFinder 2.0,4,5069,17,2010
StrengthsFinder 2.0,4,5069,17,2011
StrengthsFinder 2.0,4,5069,17,2012
StrengthsFinder 2.0,4,5069,17,2013
StrengthsFinder 2.0,4,5069,17,2014
StrengthsFinder 2.0,4,5069,17,2015
StrengthsFinder 2.0,4,5069,17,2016
StrengthsFinder 2.0,4,5069,17,2017
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",4.5,1583,18,2009
Switch: How to Change Things When Change Is Hard,4.6,1907,13,2010
Sycamore Row (Jake Brigance),4.5,23114,18,2013
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,4.4,637,20,2010
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,4.4,637,20,2011
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,4.3,2314,22,2011
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",4.3,4587,21,2011
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2010
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2011
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2012
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2013
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2014
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2015
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2016
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2017
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2018
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2019
The 5000 Year Leap,4.8,1680,12,2009
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2009
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2011
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2012
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2013
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,4725,16,2015
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,4725,16,2016
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,4725,16,2017
The Alchemist,4.7,35799,39,2014
The Amateur,4.6,2580,9,2012
The Art of Racing in the Rain: A Novel,4.7,11813,10,2010
The Art of Racing in the Rain: A Novel,4.7,11813,10,2011
The Big Short: Inside the Doomsday Machine,4.7,3536,17,2010
The Blood of Olympus (The Heroes of Olympus (5)),4.8,6600,11,2014
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",4.2,1789,14,2012
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",4.8,12361,12,2019
The Book of Basketball: The NBA According to The Sports Guy,4.7,858,53,2009
The Book Thief,4.6,23148,6,2013
The Book Thief,4.6,23148,6,2014
The Book with No Pictures,4.8,8081,8,2014
The Book with No Pictures,4.8,8081,8,2015
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.8,23358,12,2014
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.8,23358,12,2015
The Casual Vacancy,3.3,9372,12,2012
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,4.7,4633,21,2011
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,13061,6,2018
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,13061,6,2019
The Confession: A Novel,4.3,3523,13,2010
The Constitution of the United States,4.8,2774,0,2016
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,4.4,440,11,2010
The Day the Crayons Quit,4.8,8922,9,2013
The Day the Crayons Quit,4.8,8922,9,2014
The Day the Crayons Quit,4.8,8922,9,2015
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",4.1,2023,15,2011
The Elegance of the Hedgehog,4,1859,11,2009
The Fault in Our Stars,4.7,50482,13,2012
The Fault in Our Stars,4.7,50482,13,2013
The Fault in Our Stars,4.7,50482,7,2014
The Fault in Our Stars,4.7,50482,13,2014
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2009
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2010
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2011
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2012
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2013
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.6,803,9,2009
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2015
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2016
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2017
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2018
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2019
The Getaway,4.8,5836,0,2017
The Girl on the Train,4.1,79446,18,2015
The Girl on the Train,4.1,79446,7,2016
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),4.7,7747,14,2010
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),4.7,7747,14,2011
The Girl Who Played with Fire (Millennium Series),4.7,7251,9,2010
The Girl Who Played with Fire (Millennium),4.7,7251,16,2009
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,2,2009
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,2,2010
