day,ffmc,isi,temp,wind
fri,91,7.1,25.9,3.6
fri,91,7.1,21.1,7.6
fri,91,7.1,18.2,5.4
mon,92.3,8.5,24.1,3.1
mon,91.5,10.7,8,2.2
mon,90.9,7,21.3,2.2
mon,84.9,3,16.7,4.9
mon,91.8,9.2,19.1,2.7
mon,90.9,7,19.4,1.3
mon,88.6,7.1,11.2,7.6
mon,91.8,9.2,21.2,2.7
mon,90.9,7,14.7,3.6
mon,94.2,11,23,3.1
mon,87.2,4.1,11.8,1.8
mon,87.6,5,11,5.8
mon,84,2.1,13.9,5.4
mon,91.1,5.8,23.1,3.1
mon,87.6,5,8.3,3.1
mon,91.1,5.8,23.4,2.7
mon,88.6,7.1,17.4,5.4
mon,91.8,9.2,18.9,2.7
mon,90.1,6.2,10.6,4
mon,91.5,10.7,10.3,2.2
mon,91.5,10.7,17.1,5.4
mon,87.6,5,9,2.2
mon,87.2,4.1,14,3.1
mon,90.9,7,15.6,3.1
mon,90.9,7,21.9,1.8
mon,90.1,6.2,13.2,5.4
mon,90.1,6.2,16.1,3.1
mon,90.9,7,17.7,2.2
mon,84.9,3,19.1,4
mon,91.7,11.1,16.8,4.5
mon,90.9,7,21,2.2
mon,63.5,0.8,22.6,3.6
mon,87.6,5,11,5.8
mon,88.6,7.1,12.4,6.3
mon,90.1,6.2,15.2,3.1
mon,87.6,5,11,5.8
mon,91.7,11.1,16.1,4
mon,93.6,14.4,28.3,4
mon,85.4,2.6,4.6,8.5
mon,85.4,2.6,4.6,8.5
mon,85.4,2.6,4.6,8.5
mon,85.4,2.6,4.6,8.5
mon,90.4,7.5,20.7,4.9
mon,90.4,7.5,19.1,5.4
mon,92.1,9.5,18.1,3.1
mon,91.6,6.2,18,5.4
mon,91.6,6.2,9.8,1.8
mon,91.6,6.2,19.3,2.2
mon,91.6,6.2,23,2.2
mon,91.6,6.2,22.7,2.2
mon,91.6,6.2,20.4,1.8
mon,91.6,6.2,19.3,2.2
mon,91.9,6.5,15.7,2.2
mon,91.5,7.5,20.6,1.8
mon,91.5,7.5,15.9,4.5
mon,91.5,7.5,12.2,4.9
mon,91.5,7.5,16.8,3.1
mon,91.5,7.5,21.3,2.2
mon,92.1,8.2,21.1,2.2
mon,84.7,4.1,7.5,6.3
mon,84.1,2.2,5.3,1.8
mon,92.3,9.8,22.8,4.5
mon,92.1,8.2,27.9,2.2
mon,92.1,8.2,26.8,1.3
mon,92.1,8.2,25.5,1.8
mon,87.9,3.7,10.9,3.1
mon,91.5,7.5,17.7,4
mon,94.6,16.7,17.9,2.7
mon,87.2,7.1,10.2,5.8
mon,88.2,4.7,14.3,4
mon,89.2,6.4,22.6,4.9
mon,95,21.3,30.6,3.6
mon,96.2,16.8,23.9,2.2
mon,96.2,16.8,32.6,3.1
sat,90.6,6.7,14.6,1.3
sat,92.5,7.1,22.8,4
sat,92.5,7.1,17.8,7.2
sat,92.8,22.6,19.3,4
sat,91.7,7.8,15.1,5.4
sat,86.3,5.1,9.3,4.5
sat,90.2,6.2,19.5,5.8
sat,93.5,20.3,23.7,5.8
sat,93.4,8.1,30.2,2.7
sat,90.6,6.7,17.8,4
sat,90.2,8.9,18.4,6.7
sat,92.5,7.1,19.6,2.7
sat,91.7,7.8,17.4,4.9
sat,90.2,8.9,14.7,5.8
sat,83.9,2.6,12.7,1.8
sat,69,0.7,17.4,5.4
sat,92.5,8.6,24.1,4.5
sat,82.1,2.9,5.3,3.1
sat,92.5,7.1,20.3,3.1
sat,91.7,7.8,11.6,6.3
sat,91.7,7.8,15.2,4.9
sat,68.2,0.8,15.4,2.7
sat,93.5,20.3,17.6,5.8
sat,90,8.7,16.6,5.4
sat,90.1,6.2,24.6,1.8
sat,93.4,8.1,29.6,2.7
sat,93.4,8.1,28.6,2.2
sat,90.6,7.8,15.2,8.5
sat,92.5,8.6,17.8,1.8
sat,90.2,8.9,14.2,1.8
sat,90.2,8.9,20.3,4.9
sat,90.8,7.9,13.3,0.9
sat,90.6,7.8,15.1,4
sat,93.5,20.3,22.9,7.2
sat,90.6,6.7,18.4,3.1
sat,93.5,20.3,5.1,5.8
sat,91.7,7.8,17,4.9
sat,91.7,7.8,17,4.9
sat,92.2,11.9,20.1,4.5
sat,92.2,11.9,16.4,4
sat,92.5,8.6,17.7,3.1
sat,92.5,8.6,18.2,1.8
sat,92.5,8.6,25.1,4
sat,94.2,11,23.9,2.2
sat,94.2,11,21.4,2.7
sat,91.8,13.7,20.6,0.9
sat,91.8,13.7,23.7,1.8
sat,91.6,9,22.1,2.7
sat,91.6,9,24.2,1.8
sat,91.6,9,24.3,1.8
sat,91.6,9,18.7,1.8
sat,91.6,9,25.3,0.9
sat,53.4,0.4,10.6,2.7
sat,85.1,3.5,11.3,4.9
sat,92.2,8.4,24.2,3.1
sat,92.2,8.4,24.1,3.1
sat,92.2,8.4,21.2,2.2
sat,92.2,8.4,19.7,1.8
sat,92.2,8.4,23.5,4
sat,92.2,8.4,24.2,3.1
sat,91.2,8.5,21.5,4.5
sat,91.2,8.5,17.1,2.2
sat,91.2,8.4,16.8,4.9
sat,91.2,8.4,15.4,4.9
sat,93.7,8.4,21.9,2.2
sat,91.6,7.7,21.3,4.5
sat,93.7,8.4,25.9,3.1
sat,87.1,4,17,4.9
sat,84.7,2.9,14.2,4
sat,93.7,8.4,26.4,3.6
sat,91.2,8.4,22.3,4
sat,93.7,8.4,26.9,3.6
sat,92.1,9.6,23.3,4
sat,90.8,5.6,23.8,1.8
sat,89.4,9.7,14.2,2.7
sat,93.7,8.4,23.6,4
sat,93.7,8.4,18.9,4.9
sat,91.6,7.7,15.5,8
sat,93.7,8.4,18.9,4.9
sat,93.7,8.4,18.9,4.9
sat,79.5,1.8,4.6,0.9
sat,90.5,9.4,24.5,3.1
sat,96,14,30.8,4.9
sat,94.4,11.3,25.6,4
